iter	Logloss
0	0.6910376133
1	0.6893228564
2	0.687125022
3	0.6850439662
4	0.6830468038
5	0.6818151852
6	0.6801182074
7	0.6782322111
8	0.6767942
9	0.6751052511
10	0.6730792265
11	0.6712627971
12	0.6698485522
13	0.6682153128
14	0.6670284489
15	0.6657724972
16	0.6646194735
17	0.6634912419
18	0.6617927251
19	0.660684645
20	0.6592655469
21	0.658189218
22	0.656916061
23	0.6557266254
24	0.6547023376
25	0.6534348437
26	0.6524024628
27	0.651420557
28	0.6505436075
29	0.6494681628
30	0.6485430567
31	0.6473451164
32	0.6462760603
33	0.6452498083
34	0.644459307
35	0.6437049409
36	0.6427168894
37	0.6416897666
38	0.6409525754
39	0.6401681793
40	0.6392709871
41	0.6386438989
42	0.6379934023
43	0.6370474292
44	0.6362479777
45	0.6357675056
46	0.6350997834
47	0.6346219201
48	0.633841655
49	0.6331232316
50	0.6326225573
51	0.6320870573
52	0.6313937669
53	0.6307610898
54	0.6301684256
55	0.6296800731
56	0.6293730544
57	0.6288664166
58	0.6283949116
59	0.6278957088
60	0.627315822
61	0.6269006679
62	0.6262994753
63	0.6257802323
64	0.6252096467
65	0.6248327438
66	0.6244300768
67	0.623975173
68	0.6234754909
69	0.6229480198
70	0.6225555619
71	0.6221632154
72	0.6218665846
73	0.6214364189
74	0.6210376871
75	0.6207078472
76	0.6203860228
77	0.6199671596
78	0.6196178836
79	0.6192570115
80	0.6189246607
81	0.6186292415
82	0.6183191314
83	0.6180456997
84	0.6176556718
85	0.6174031578
86	0.6171091494
87	0.61677529
88	0.616528321
89	0.6162183323
90	0.6158898593
91	0.6156367412
92	0.6153811595
93	0.6151286354
94	0.614842153
95	0.6146149913
96	0.6144026252
97	0.6141538878
98	0.6139408602
99	0.613762034
100	0.6135601673
101	0.6133007347
102	0.6130338538
103	0.6128418553
104	0.6126860392
105	0.6123914536
106	0.6121990164
107	0.6119947265
108	0.6118153434
109	0.6115930821
110	0.6114369791
111	0.6112478762
112	0.6110460129
113	0.6108462825
114	0.6106457353
115	0.6104832504
116	0.6103235531
117	0.6101051662
118	0.6099039981
119	0.6097358298
120	0.6095534465
121	0.6093280566
122	0.6091314649
123	0.6089160243
124	0.6087661817
125	0.6086028227
126	0.6084046346
127	0.6082658584
128	0.6081048753
129	0.6079410573
130	0.6077484513
131	0.6076258544
132	0.6074471598
133	0.6072523837
134	0.6071159362
135	0.606973694
136	0.6068299533
137	0.606701997
138	0.6065503827
139	0.6063773478
140	0.6062024803
141	0.6060982632
142	0.605963952
143	0.6058492186
144	0.6057039525
145	0.6055771133
146	0.6053569647
147	0.6052446984
148	0.6051128239
149	0.6049854211
150	0.6048688585
151	0.6047532646
152	0.6046566275
153	0.6045312328
154	0.6043964018
155	0.6043061973
156	0.6042085983
157	0.6040914418
158	0.6039604144
159	0.6038881137
160	0.6037845446
161	0.6037061893
162	0.6036050805
163	0.6035200767
164	0.6034275266
165	0.6033348212
166	0.6032673028
167	0.6031820493
168	0.6030898637
169	0.6030199423
170	0.6029143077
171	0.6028153082
172	0.6026942908
173	0.6025900635
174	0.6024928594
175	0.6024011699
176	0.6023156734
177	0.6022477567
178	0.6021635089
179	0.602071654
180	0.601982165
181	0.6019084975
182	0.6018569694
183	0.6017641257
184	0.6016343065
185	0.6015619518
186	0.6015051656
187	0.6014275158
188	0.6013559643
189	0.6012892762
190	0.601222993
191	0.6011500849
192	0.6010711424
193	0.6010101207
194	0.6009274456
195	0.6008601162
196	0.6007930061
197	0.6007465269
198	0.6006798995
199	0.6006180914
200	0.6005429356
201	0.6004759538
202	0.6003885032
203	0.6003299823
204	0.6002594636
205	0.6001971763
206	0.6001285374
207	0.6000538777
208	0.5999993054
209	0.5999275313
210	0.5998601782
211	0.5997959976
212	0.5997248073
213	0.5996161319
214	0.5995379657
215	0.5994703697
216	0.5994264284
217	0.5993836919
218	0.5993330413
219	0.5992838723
220	0.5992405992
221	0.5991848491
222	0.5991222074
223	0.5990637945
224	0.5989784229
225	0.5989112588
226	0.5988508446
227	0.5987928772
228	0.5987315484
229	0.5986608339
230	0.5985968895
231	0.5985528639
232	0.598507792
233	0.5984473339
234	0.5983418478
235	0.5982916798
236	0.5982435502
237	0.598200699
238	0.598128368
239	0.5980720948
240	0.598021785
241	0.5979296399
242	0.5978816622
243	0.5978275051
244	0.5977935299
245	0.5977501893
246	0.597713278
247	0.5976560665
248	0.5975914033
249	0.5975447047
250	0.5974934432
251	0.5974403795
252	0.5973935594
253	0.5973544848
254	0.5972990249
255	0.5972339466
256	0.5971708864
257	0.5971215756
258	0.5970602063
259	0.596995128
260	0.5969580884
261	0.5969175962
262	0.5968770602
263	0.5968273242
264	0.5968001292
265	0.596751112
266	0.596709496
267	0.5966669418
268	0.5966115461
269	0.5965591405
270	0.5965090535
271	0.5964650008
272	0.5964107593
273	0.596377044
274	0.5963279121
275	0.5962759689
276	0.5962299453
277	0.5961871514
278	0.596149231
279	0.5960961909
280	0.596047626
281	0.596015507
282	0.5959783256
283	0.5959271587
284	0.5958966664
285	0.5958514561
286	0.5958115546
287	0.5957764825
288	0.5957408368
289	0.5956978371
290	0.5956622149
291	0.5956322964
292	0.5955914093
293	0.5955548996
294	0.5955066485
295	0.5954612088
296	0.5954237574
297	0.5953808421
298	0.5953520643
299	0.5953132731
300	0.5952743671
301	0.5952272568
302	0.595193312
303	0.5951630694
304	0.5950970799
305	0.5950803639
306	0.5950565742
307	0.5950157648
308	0.5949802169
309	0.5949565048
310	0.5949121585
311	0.5948864147
312	0.5948495405
313	0.5948217616
314	0.5947879046
315	0.5947423703
316	0.5947101096
317	0.594662601
318	0.5946362598
319	0.5946062198
320	0.5945696864
321	0.5945323262
322	0.5945138418
323	0.594489016
324	0.5944615206
325	0.5944385915
326	0.5944069855
327	0.594371279
328	0.5943264366
329	0.5943015466
330	0.5942644125
331	0.5942475785
332	0.5942309165
333	0.5942041367
334	0.5941824292
335	0.5941502664
336	0.5941134191
337	0.5940910131
338	0.5940593902
339	0.5940224215
340	0.5939959926
341	0.5939739544
342	0.5939491219
343	0.5939224837
344	0.5938915459
345	0.593859238
346	0.5938292384
347	0.5938114594
348	0.5937809941
349	0.5937472416
350	0.5937169957
351	0.5936828653
352	0.5936611511
353	0.5936352015
354	0.5936113746
355	0.5935934606
356	0.593569681
357	0.5935428707
358	0.5935216662
359	0.5934915856
360	0.5934575294
361	0.5934303007
362	0.5933996633
363	0.5933662146
364	0.5933391613
365	0.5933024524
366	0.5932837824
367	0.5932578328
368	0.5932335672
369	0.5931631565
370	0.5931401329
371	0.5931118511
372	0.5930874809
373	0.5930683486
374	0.5930434283
375	0.593016726
376	0.5929870538
377	0.592957898
378	0.5929388837
379	0.592907325
380	0.5928876965
381	0.5928639912
382	0.5928418349
383	0.5928115755
384	0.5927852984
385	0.5927527171
386	0.5927285494
387	0.5927089985
388	0.5926845271
389	0.5926493842
390	0.5926144809
391	0.5925675697
392	0.5925467735
393	0.5925250222
394	0.5924929909
395	0.5924767981
396	0.5924529915
397	0.5924169003
398	0.5923893273
399	0.5923725877
400	0.5923231318
401	0.5922964802
402	0.5922804933
403	0.5922615431
404	0.592216451
405	0.5921560975
406	0.5921216566
407	0.5921068542
408	0.5920857915
409	0.5920559539
410	0.5920330011
411	0.5920109967
412	0.591992752
413	0.5919642711
414	0.5919340961
415	0.5919141774
416	0.5918838741
417	0.591863979
418	0.5918370439
419	0.5917980603
420	0.5917753202
421	0.5917320572
422	0.5917144639
423	0.5916782916
424	0.5916381201
425	0.5916053868
426	0.59158129
427	0.5915464947
428	0.5915262183
429	0.5915044771
430	0.5914814906
431	0.5914549469
432	0.5914280253
433	0.591393905
434	0.591366845
435	0.5913422014
436	0.5912778959
437	0.5912563033
438	0.591227441
439	0.5912010223
440	0.591174806
441	0.5911526868
442	0.5911247359
443	0.5910999303
444	0.5910737747
445	0.5910475821
446	0.5910242412
447	0.590999385
448	0.5909577387
449	0.5909406988
450	0.5909133384
451	0.5908796163
452	0.5908421447
453	0.5908150847
454	0.5907947745
455	0.5907682983
456	0.5907329327
457	0.5906793932
458	0.5906571559
459	0.5906084087
460	0.5905704241
461	0.5905345354
462	0.5905138067
463	0.5904886872
464	0.5904601322
465	0.5904416478
466	0.5904213781
467	0.590384595
468	0.5903593034
469	0.5902849441
470	0.5902575668
471	0.5902365783
472	0.5902017863
473	0.59014959
474	0.5901127461
475	0.5900763106
476	0.5900543501
477	0.5900351199
478	0.5900089846
479	0.5899799334
480	0.589954409
481	0.5899168699
482	0.5898879739
483	0.5898686492
484	0.589828832
485	0.5898075904
486	0.5897638583
487	0.589740558
488	0.5896855706
489	0.5896643154
490	0.5896352001
491	0.5896159226
492	0.5895823524
493	0.5895490893
494	0.5895234231
495	0.5895048341
496	0.5894844531
497	0.5894615915
498	0.5894329452
499	0.5894085987
500	0.5893906948
501	0.5893616976
502	0.5893339693
503	0.5893166122
504	0.5892936965
505	0.5892642302
506	0.5892189491
507	0.5891750955
508	0.589124671
509	0.5891025114
510	0.5890650128
511	0.5890388303
512	0.5890183884
513	0.5889984225
514	0.5889777883
515	0.5889506979
516	0.5889284843
517	0.5889095308
518	0.588880834
519	0.5888614181
520	0.5888364134
521	0.5888037308
522	0.5887822259
523	0.5887585644
524	0.5887368941
525	0.5887160203
526	0.5886989838
527	0.5886760108
528	0.5886515495
529	0.5886213508
530	0.5886022286
531	0.5885804739
532	0.5885595799
